file,timestamp,column,value,rule
biochar_app/data-raw/datfiles_2023/S4M_Table1.dat,2023-09-30 21:15:00,VWC_1_Avg,108.6853,VWC fraction
biochar_app/data-raw/datfiles_2024/S2T_Table1.dat,2024-10-23 07:45:00,EC_1_Avg,53.4752,EC raw (dS/m)
biochar_app/data-raw/datfiles_2024/S3B_Table1.dat,2024-11-07 18:15:00,EC_1_Avg,182.4548,EC raw (dS/m)
biochar_app/data-raw/datfiles_2024/S4B_Table1.dat,2024-04-01 13:45:00,BattV_Min,20.89867,Battery voltage (V)
biochar_app/data-raw/datfiles_2024/S4B_Table1.dat,2024-06-25 11:00:00,BattV_Min,20.07602,Battery voltage (V)
biochar_app/data-raw/datfiles_2024/S4B_Table1.dat,2024-06-25 11:30:00,BattV_Min,20.00047,Battery voltage (V)
biochar_app/data-raw/datfiles_2024/S4T_Table1.dat,2024-05-08 11:00:00,EC_3_Avg,178.9838,EC raw (dS/m)
biochar_app/data-raw/datfiles_2024/dat_2024_12_30/S2T_Table1.dat,2024-10-23 07:45:00,EC_1_Avg,53.4752,EC raw (dS/m)
biochar_app/data-raw/datfiles_2024/dat_2024_12_30/S3B_Table1.dat,2024-11-07 18:15:00,EC_1_Avg,182.4548,EC raw (dS/m)
biochar_app/data-raw/datfiles_2024/dat_2024_12_30/S4B_Table1.dat,2024-04-01 13:45:00,BattV_Min,20.89867,Battery voltage (V)
biochar_app/data-raw/datfiles_2024/dat_2024_12_30/S4B_Table1.dat,2024-06-25 11:00:00,BattV_Min,20.07602,Battery voltage (V)
biochar_app/data-raw/datfiles_2024/dat_2024_12_30/S4B_Table1.dat,2024-06-25 11:30:00,BattV_Min,20.00047,Battery voltage (V)
biochar_app/data-raw/datfiles_2024/dat_2024_12_30/S4T_Table1.dat,2024-05-08 11:00:00,EC_3_Avg,178.9838,EC raw (dS/m)
biochar_app/data-raw/datfiles_2024/datsForPC/S4B_Table1.dat,2024-04-01 13:45:00,BattV_Min,20.89867,Battery voltage (V)
biochar_app/data-raw/datfiles_2024/datsForPC/S4T_Table1.dat,2024-05-08 11:00:00,EC_3_Avg,178.9838,EC raw (dS/m)
biochar_app/data-raw/datfiles_2024/old/S4B_Table1.dat,2024-04-01 13:45:00,BattV_Min,20.89867,Battery voltage (V)
biochar_app/data-raw/datfiles_2024/old_2024_5_24/S4B_Table1.dat,2024-04-01 13:45:00,BattV_Min,20.89867,Battery voltage (V)
biochar_app/data-raw/datfiles_2024/old_2024_5_24/S4T_Table1.dat,2024-05-08 11:00:00,EC_3_Avg,178.9838,EC raw (dS/m)
biochar_app/data-raw/datfiles_2025/S1M_Table1.dat,2025-11-30 10:15:00,T_1_Avg,3561.505,Soil temp raw (°C)
biochar_app/data-raw/datfiles_2025/S2B_Table1.dat,2025-02-05 05:15:00,T_2_Avg,542.2269,Soil temp raw (°C)
biochar_app/data-raw/datfiles_2025/S2T_Table1.dat,2024-10-23 07:45:00,EC_1_Avg,53.4752,EC raw (dS/m)
biochar_app/data-raw/datfiles_2025/S3B_Table1.dat,2024-11-07 18:15:00,EC_1_Avg,182.4548,EC raw (dS/m)
biochar_app/data-raw/datfiles_2025/S4B_Table1.dat,2024-04-01 13:45:00,BattV_Min,20.89867,Battery voltage (V)
biochar_app/data-raw/datfiles_2025/S4B_Table1.dat,2024-06-25 11:00:00,BattV_Min,20.07602,Battery voltage (V)
biochar_app/data-raw/datfiles_2025/S4B_Table1.dat,2024-06-25 11:30:00,BattV_Min,20.00047,Battery voltage (V)
biochar_app/data-raw/datfiles_2025/S4T_Table1.dat,2025-11-07 13:30:00,T_2_Avg,6338.52,Soil temp raw (°C)
biochar_app/data-raw/datfiles_2025/S4T_Table1.dat,2024-05-08 11:00:00,EC_3_Avg,178.9838,EC raw (dS/m)
biochar_app/data-raw/datfiles_2026/S1M_Table1.dat,2025-11-30 10:15:00,T_1_Avg,3561.505,Soil temp raw (°C)
biochar_app/data-raw/datfiles_2026/S2B_Table1.dat,2025-02-05 05:15:00,T_2_Avg,542.2269,Soil temp raw (°C)
biochar_app/data-raw/datfiles_2026/S2T_Table1.dat,2024-10-23 07:45:00,EC_1_Avg,53.4752,EC raw (dS/m)
biochar_app/data-raw/datfiles_2026/S3B_Table1.dat,2024-11-07 18:15:00,EC_1_Avg,182.4548,EC raw (dS/m)
biochar_app/data-raw/datfiles_2026/S3M_Table1.dat,2026-01-13 07:15:00,T_2_Avg,1438.213,Soil temp raw (°C)
biochar_app/data-raw/datfiles_2026/S4B_Table1.dat,2024-04-01 13:45:00,BattV_Min,20.89867,Battery voltage (V)
biochar_app/data-raw/datfiles_2026/S4B_Table1.dat,2024-06-25 11:00:00,BattV_Min,20.07602,Battery voltage (V)
biochar_app/data-raw/datfiles_2026/S4B_Table1.dat,2024-06-25 11:30:00,BattV_Min,20.00047,Battery voltage (V)
biochar_app/data-raw/datfiles_2026/S4T_Table1.dat,2025-11-07 13:30:00,T_2_Avg,6338.52,Soil temp raw (°C)
biochar_app/data-raw/datfiles_2026/S4T_Table1.dat,2024-05-08 11:00:00,EC_3_Avg,178.9838,EC raw (dS/m)
