year,column,n,min_v,p01,p50,p99,max_v,out_of_range_count,out_of_range_fraction,batt_min_ok,batt_max_ok
2026,BattV_Min_S3_M,5108,8.875387,9.928883,11.062965,14.12776,14.29648,4491,0.8792090837901331,11.0,13.0
2026,BattV_Min_S4_T,5128,12.89042,12.92652,13.40668,14.2400132,14.43919,4465,0.8707098283931357,11.0,13.0
2026,BattV_Min_S1_T,5128,12.74184,12.8503568,13.21613,14.2700064,14.47948,3979,0.7759360374414976,11.0,13.0
2026,BattV_Min_S2_M,5128,12.76283,12.82495,13.19346,14.227355999999999,14.44255,3952,0.7706708268330733,11.0,13.0
2026,BattV_Min_S2_T,4958,12.53282,12.6835588,13.42011,14.2028312,14.414,3524,0.7107704719645018,11.0,13.0
2026,BattV_Min_S4_M,5128,12.69987,12.73764,13.10406,14.2232232,14.42911,3191,0.6222698907956318,11.0,13.0
2026,BattV_Min_S3_T,5128,12.63355,12.7143668,13.05411,14.05389,14.27466,2923,0.5700078003120125,11.0,13.0
2026,BattV_Min_S4_B,5128,12.64699,12.69735,13.00081,14.2565764,14.44842,2569,0.50097503900156,11.0,13.0
2026,BattV_Min_S1_M,5128,12.3918,12.59662,12.99199,14.2104064,14.38798,2548,0.4968798751950078,11.0,13.0
2026,BattV_Min_S1_B,5125,12.58487,12.64027,12.9878,14.283688399999999,14.46437,2539,0.49541463414634146,11.0,13.0
2026,BattV_Min_S3_B,5128,12.28855,12.45895,12.84719,14.281983199999999,14.44758,2424,0.47269890795631825,11.0,13.0
2026,BattV_Min_S2_B,5128,12.43209,12.59326,12.90805,14.16301,14.35608,2111,0.41166146645865836,11.0,13.0
