strip,sample_date,estimated_strip_biomass_lb,estimated_biomass_lb_ac,N_pct_db,P_pct_db,K_pct_db,N_uptake_lb_strip,P_uptake_lb_strip,K_uptake_lb_strip,N_budget_lb_strip_fert_minus_uptake,P_budget_lb_strip_fert_minus_uptake,K_budget_lb_strip_fert_minus_uptake
S1,2023-06-12,184.41325290468276,623.6833304757749,1.808,0.23,1.74,3.334191612516664,0.42415048168077035,3.2087906005414797,11.665808387483336,29.57584951831923,6.79120939945852
S2,2023-06-12,253.19355937725905,856.297472552283,1.936,0.23,1.75,4.901827309543735,0.5823451865676958,4.430887289102034,10.098172690456266,29.417654813432303,5.569112710897966
S3,2023-06-12,123.5205962569432,417.74512212363703,1.584,0.22,1.35,1.95656624470998,0.27174531176527505,1.6675280494687332,13.04343375529002,29.728254688234724,38.332471950531264
S4,2023-06-12,252.08928840178191,852.5628418308712,1.744,0.25,1.69,4.396437189727076,0.6302232210044548,4.260308973990114,10.603562810272923,29.369776778995544,35.739691026009886
S1,2023-07-25,192.3009027295195,650.3592642001452,2.64,0.36,2.24,5.076743832059314,0.6922832498262702,4.307540221141237,9.923256167940686,29.30771675017373,5.692459778858763
S2,2023-07-25,138.50713092413298,468.4293961999404,2.48,0.39,2.62,3.434976846918498,0.5401778106041186,3.6288868302122843,11.565023153081501,29.459822189395883,6.371113169787716
S3,2023-07-25,119.73452434102158,404.9406739359394,2.3040000000000003,0.36,2.39,2.7586834408171375,0.4310442876276777,2.8616551317504157,12.241316559182863,29.568955712372322,37.13834486824958
S4,2023-07-25,92.28550295058974,312.10842457513115,1.92,0.35,2.54,1.771881656651323,0.32299926032706405,2.3440517749449796,13.228118343348678,29.677000739672938,37.65594822505502
S1,2023-10-05,150.02309966839462,507.37625943752096,2.352,0.33,1.91,3.5285433042006416,0.49507622890570224,2.8654412036663373,11.471456695799358,29.504923771094298,7.134558796333662
S2,2023-10-05,73.98615535696854,250.22025833459236,2.112,0.31,1.83,1.5625876011391755,0.22935708160660245,1.3539466430325242,13.437412398860825,29.7706429183934,8.646053356967476
S3,2023-10-05,222.58947805689255,752.7948497017267,1.952,0.32,2.01,4.344946611670542,0.7122863297820562,4.47404850894354,10.655053388329458,29.287713670217943,35.52595149105646
S4,2023-10-05,119.73452434102158,404.9406739359394,2.16,0.32,1.94,2.5862657257660664,0.3831504778912691,2.3228497722158186,12.413734274233933,29.61684952210873,37.67715022778418
