strip,year,spring_P_ppm,fall_P_ppm,delta_P_ppm,microbial_biomass_ng_g,plant_P_pct_db_mean,plant_P_pct_db_last,P_uptake_lb_strip,P_buffering_index,P_access_efficiency,P_uptake_per_1000_microbes,P_turnover_efficiency
S1,2023,12.2,7.5,-4.7,1271.71,0.3067,0.33,1.6115,270.5766,0.1321,1.2672,0.3429
S1,2024,13.2,12.5,-0.7,3331.8,,,5.3721,4759.7143,0.407,1.6124,7.6744
S1,2025,11.4,11.2,-0.2,7345.0,0.2367,0.18,2.1415,36725.0,0.1878,0.2916,10.7073
S2,2023,11.4,8.0,-3.4,1269.41,0.31,0.31,1.3519,373.3559,0.1186,1.065,0.3976
S2,2024,10.0,11.2,1.2,2176.04,,,6.0249,1813.3667,0.6025,2.7687,5.0208
S2,2025,10.1,9.0,-1.1,6521.0,0.2233,0.21,2.4355,5928.1818,0.2411,0.3735,2.2141
S3,2023,12.5,8.9,-3.6,1209.87,0.3,0.32,1.4151,336.075,0.1132,1.1696,0.3931
S3,2024,16.1,9.0,-7.1,2171.49,,,3.7743,305.8437,0.2344,1.7381,0.5316
S3,2025,7.9,8.4,0.5,5983.0,0.2333,0.18,2.0758,11966.0,0.2628,0.347,4.1516
S4,2023,16.2,7.9,-8.3,1237.69,0.3067,0.32,1.3364,149.1193,0.0825,1.0797,0.161
S4,2024,13.1,9.9,-3.2,2113.8,,,4.1786,660.5625,0.319,1.9768,1.3058
S4,2025,11.7,7.0,-4.7,4913.0,0.2167,0.17,2.4634,1045.3191,0.2105,0.5014,0.5241
